UIC;Gare enquêtée;Motif du déplacement;Répartition;Année
345025;Lens;Déplacement domicile - étude (y compris stage);28;2019
313874;Amiens;Déplacement professionnel occasionnel;6;2018
345025;Lens;Déplacement domicile - travail habituel;40;2019
271007;Paris Nord;;0;2015
611004;Toulouse Matabiau;Déplacement domicile - étude (y compris stage);22;2017
583005;Angoulême;Loisirs, vacances, visite d'un proche ou ami;45;2015
575001;Poitiers;Déplacement domicile - étude (y compris stage);12;2018
673400;Biarritz;Démarches administratives, médicales ou achat;5;2019
571000;Tours;Déplacement domicile - étude (y compris stage);13;2019
571000;Tours;Démarches administratives, médicales ou achat;3;2019
583005;Angoulême;Déplacement domicile - travail habituel;19;2015
673004;Bayonne;Déplacement professionnel occasionnel;17;2016
571000;Tours;Déplacement domicile - travail habituel;42;2019
583005;Angoulême;;0;2015
223263;Lille Europe;Déplacement domicile - étude (y compris stage);5;2016
223263;Lille Europe;Démarches administratives, médicales ou achat;1;2016
212027;Strasbourg;Loisirs, vacances, visite d'un proche ou ami;16;2019
182063;Mulhouse;Loisirs, vacances, visite d'un proche ou ami;22;2017
182063;Mulhouse;Démarches administratives, médicales ou achat;3;2017
223263;Lille Europe;Déplacement domicile - travail habituel;38;2016
182014;Colmar;Démarches administratives, médicales ou achat;3;2019
171009;Reims;Démarches administratives, médicales ou achat;3;2019
182063;Mulhouse;Déplacement domicile - travail habituel;34;2017
192039;Metz;Déplacement domicile - étude (y compris stage);17;2019
484006;Angers Saint Laud;Loisirs, vacances, visite d'un proche ou ami;19;2018
547000;Paris Austerlitz;Loisirs, vacances, visite d'un proche ou ami;33;2016
686006;Paris Gare de Lyon;Déplacement professionnel occasionnel;25;2015
611004;Toulouse Matabiau;Déplacement domicile - travail habituel;24;2017
611004;Toulouse Matabiau;Déplacement professionnel occasionnel;16;2017
575001;Poitiers;Démarches administratives, médicales ou achat;4;2018
673400;Biarritz;Loisirs, vacances, visite d'un proche ou ami;60;2019
673004;Bayonne;Démarches administratives, médicales ou achat;2;2016
575001;Poitiers;Déplacement domicile - travail habituel;24;2018
575001;Poitiers;Déplacement professionnel occasionnel;31;2018
271494;Aéroport Charles de Gaulle 2 TGV;Loisirs, vacances, visite d'un proche ou ami;55;2016
271494;Aéroport Charles de Gaulle 2 TGV;Déplacement professionnel occasionnel;35;2016
300863;Besançon Franche-Comté TGV;Déplacement professionnel occasionnel;43;2018
271007;Paris Nord;Loisirs, vacances, visite d'un proche ou ami;20;2015
313874;Amiens;Déplacement domicile - étude (y compris stage);53;2018
182014;Colmar;Loisirs, vacances, visite d'un proche ou ami;21;2019
271007;Paris Nord;Déplacement professionnel occasionnel;24;2015
192039;Metz;Loisirs, vacances, visite d'un proche ou ami;19;2019
313874;Amiens;Déplacement domicile - travail habituel;23;2018
192039;Metz;Déplacement professionnel occasionnel;19;2019
391003;Paris Montparnasse 1 et 2 + Vaugirard;Déplacement domicile - travail habituel;34;2015
393702;Massy TGV;Déplacement domicile - étude (y compris stage);1;2016
444877;Cherbourg;Loisirs, vacances, visite d'un proche ou ami;20;2018
396002;Le Mans;Déplacement domicile - étude (y compris stage);15;2018
481002;Nantes;Démarches administratives, médicales ou achat;1;2017
393702;Massy TGV;Déplacement domicile - travail habituel;8;2016
444877;Cherbourg;Déplacement domicile - travail habituel;57;2018
396002;Le Mans;Déplacement domicile - travail habituel;37;2018
481002;Nantes;Déplacement domicile - travail habituel;39;2017
476002;Lorient;;1;2013
773002;Montpellier Saint-Roch;Déplacement professionnel occasionnel;20;2018
762906;Lyon Saint Exupery TGV;Déplacement professionnel occasionnel;38;2019
723197;Lyon Part Dieu;Déplacement domicile - étude (y compris stage);12;2014
723197;Lyon Part Dieu;Démarches administratives, médicales ou achat;2;2014
757625;Cannes;Déplacement domicile - étude (y compris stage);31;2018
757625;Cannes;Loisirs, vacances, visite d'un proche ou ami;32;2018
753657;Arles;Loisirs, vacances, visite d'un proche ou ami;39;2017
756056;Nice;Loisirs, vacances, visite d'un proche ou ami;32;2017
713040;Dijon;Déplacement professionnel occasionnel;23;2018
756056;Nice;Déplacement professionnel occasionnel;9;2017
784009;Perpignan;Déplacement domicile - travail habituel;22;2019
111849;Marne la Vallée Chessy;Déplacement domicile - étude (y compris stage);2;2016
113001;Paris Est;Déplacement domicile - étude (y compris stage);10;2015
141002;Nancy;Déplacement domicile - étude (y compris stage);26;2017
171009;Reims;Loisirs, vacances, visite d'un proche ou ami;17;2019
182014;Colmar;Déplacement domicile - travail habituel;39;2019
141002;Nancy;Déplacement professionnel occasionnel;19;2017
;Paris Bercy;Loisirs, vacances, visite d'un proche ou ami;26;2015
118000;Troyes;Déplacement domicile - étude (y compris stage);14;2018
182014;Colmar;Déplacement domicile - étude (y compris stage);23;2019
