UIC;Gare enquêtée;Classe d'âge;Pourcentage;Année
481002;Nantes;20 ans à 29 ans;23.8;2016
775007;Nîmes;30 ans à 39 ans;12.7;2016
775007;Nîmes;40 ans à 49 ans;13.3;2016
481002;Nantes;60 ans et plus;15.2;2016
;Paris Bercy;30 ans à 39 ans;21.1;2014
411017;Rouen Rive Droite;50 ans à 59 ans;14.3;2016
411017;Rouen Rive Droite;20 ans à 29 ans;29.2;2016
411017;Rouen Rive Droite;60 ans et plus;10.9;2016
471003;Rennes;19 ans et moins;12.5;2016
171009;Reims;20 ans à 29 ans;24.9;2018
171009;Reims;40 ans à 49 ans;14.9;2018
611004;Toulouse Matabiau;50 ans à 59 ans;11.8;2016
611004;Toulouse Matabiau;40 ans à 49 ans;13.6;2016
611004;Toulouse Matabiau;19 ans et moins;15.1;2016
611004;Toulouse Matabiau;60 ans et plus;14.7;2016
118000;Troyes;20 ans à 29 ans;24.7;2017
118000;Troyes;19 ans et moins;19.9;2017
