UIC;Gare enquêtée;Distance parcourue;Répartition;Année
271494;Aéroport Charles de Gaulle 2 TGV;04 à 06 km;4;2015
300863;Besançon Franche-Comté TGV;10 à 15 km;6;2017
300863;Besançon Franche-Comté TGV;20 à 30 km;6;2017
300822;Belfort Montbéliard TGV;06 à 08 km;3;2017
286005;Lille Flandres;06 à 08 km;1;2015
286005;Lille Flandres;10 à 15 km;1;2015
286005;Lille Flandres;20 à 30 km;0;2015
271007;Paris Nord;Moins de 2 km;24;2014
271007;Paris Nord;30 à 50 km;1;2014
212027;Strasbourg;Moins de 2 km;77;2018
212027;Strasbourg;02 à 04 km;4;2018
271007;Paris Nord;02 à 04 km;24;2014
271007;Paris Nord;04 à 06 km;14;2014
271007;Paris Nord;20 à 30 km;2;2014
182063;Mulhouse;15 à 20 km;2;2016
182063;Mulhouse;02 à 04 km;3;2016
192039;Metz;02 à 04 km;4;2018
192039;Metz;08 à 10 km;2;2018
192039;Metz;10 à 15 km;2;2018
113001;Paris Est;50 à 100 km;1;2014
113001;Paris Est;15 à 20 km;2;2014
113001;Paris Est;06 à 08 km;13;2014
171009;Reims;Moins de 2 km;83;2018
141002;Nancy;Moins de 2 km;68;2016
182014;Colmar;30 à 50 km;3;2019
171009;Reims;50 à 100 km;2;2018
141002;Nancy;50 à 100 km;2;2016
182014;Colmar;10 à 15 km;6;2019
141002;Nancy;10 à 15 km;2;2016
763029;Valence TGV Rhône-Alpes Sud;15 à 20 km;8;2017
763029;Valence TGV Rhône-Alpes Sud;20 à 30 km;8;2017
763029;Valence TGV Rhône-Alpes Sud;08 à 10 km;10;2017
762906;Lyon Saint Exupery TGV;Plus de 100 km;24;2018
756056;Nice;Moins de 2 km;92;2016
756056;Nice;30 à 50 km;1;2016
756056;Nice;20 à 30 km;2;2016
751008;Marseille Saint-Charles;08 à 10 km;1;2015
751008;Marseille Saint-Charles;10 à 15 km;3;2015
718007;Besançon-Viotte;30 à 50 km;6;2014
723197;Lyon Part Dieu;50 à 100 km;2;2013
723197;Lyon Part Dieu;08 à 10 km;2;2013
747006;Grenoble;Plus de 100 km;1;2017
755009;Toulon;Moins de 2 km;57;2016
713040;Dijon;Moins de 2 km;75;2017
747006;Grenoble;02 à 04 km;4;2017
755009;Toulon;04 à 06 km;3;2016
319012;Aix en Provence-TGV;04 à 06 km;6;2017
384008;Paris St Lazare;Moins de 2 km;36;2015
411017;Rouen Rive Droite;04 à 06 km;7;2016
384008;Paris St Lazare;06 à 08 km;10;2015
384008;Paris St Lazare;15 à 20 km;1;2015
318964;Avignon TGV;15 à 20 km;6;2017
318964;Avignon TGV;20 à 30 km;15;2017
393702;Massy TGV;15 à 20 km;7;2015
393702;Massy TGV;30 à 50 km;5;2015
345025;Lens;30 à 50 km;1;2018
